GrainID,Ns,A,U1,U1err
FCT1,2,1600,12.22,0.22
FCT2,2,900,3.76,0.06
FCT3,3,1200,12.7,0.19
FCT4,7,3200,10.95,0.24
FCT5,9,1200,20.29,0.35
FCT6,0,900,6.38,0.1
FCT7,2,600,16.53,1.08
FCT8,7,4200,17.34,0.38
FCT9,3,2800,15.57,0.96
FCT10,1,900,14.57,0.29
FCT11,3,2000,13.51,0.22
FCT12,5,1600,13.37,0.54
FCT13,4,1800,13.88,0.24
FCT14,1,1000,15.89,0.23
FCT15,5,3600,5.57,0.11
FCT16,1,1200,7.28,0.15
FCT17,4,900,24.56,0.5
FCT18,1,600,18.59,1.09
FCT19,8,2400,16.47,0.4
FCT20,2,1800,10.22,0.16
FCT21,1,1600,12.2,0.27
FCT22,2,1400,13.14,0.23
FCT23,4,1800,16.67,0.33
FCT24,8,2000,19.36,0.35
