GrainID,Ns,A,U1,U1err
1,72,1600.0,282,11
2,124,1600.0,520,20
3,129,1600.0,509,19
4,75,1600.0,307,12
5,145,1600.0,486,18
6,73,1600.0,618,23
7,103,1600.0,291,11
8,100,1600.0,480,18
9,88,1600.0,515,19
10,131,1600.0,461,17
11,114,1600.0,554,21
12,86,1600.0,370,14
13,137,1600.0,394,15
14,154,1600.0,495,19
15,107,1600.0,561,21
16,64,1600.0,470,18
17,123,1600.0,179,7
18,106,1600.0,513,19
19,132,1600.0,453,17
20,27,1600.0,503,19
21,97,1600.0,116,4
22,104,1600.0,431,16
23,62,1600.0,275,10
24,141,1600.0,249,9
25,145,1600.0,502,19
26,35,1600.0,515,19
27,77,1600.0,148,6
28,54,1600.0,476,18
29,101,1600.0,251,9
