GrainID,Ns,A,U1,U1err
Grain01,72,1510,396.58,17.69
Grain02,90,1610,458.65,3.24
Grain03,77,1050,578.66,4.16
Grain04,78,899,526.54,7.62
Grain05,91,1430,510.26,3.54
Grain06,140,3090,288.07,6.01
Grain07,79,1400,349.77,10.45
Grain08,95,2500,278.47,7.55
Grain10,63,774,526.21,5.42
Grain11,71,1160,495.97,8.64
Grain12,47,764,709.69,6.14
Grain16,58,636,540.4,4.17
Grain17,84,731,327.19,8.87
Grain18,87,1260,283.79,5.74
Grain19,68,753,571.94,14.77
Grain22,64,765,571.64,17.08
Grain23,139,1460,574.09,15.79
Grain24,36,778,364.16,2.69
Grain30,45,818,371.04,3.57
Grain31,58,785,356.26,5.41
Grain34,52,854,483.48,16.72
Grain35,66,1070,381.53,3.09
Grain36,53,1010,416.67,15.36
Grain37,92,1130,492.77,18.68
Grain39,48,652,443.05,8.14
Grain41,42,675,637.29,4.48
Grain44,47,752,519.42,9.84
Grain45,41,884,410.89,4.24
Grain47,67,909,662.62,8.21
Grain49,73,1240,270.04,15.81
Grain50,83,1220,258.98,4.26
Grain51,71,1060,531.61,20.01
Grain54,91,1170,431.49,5.57
Grain55,99,1500,570.8,6.82
Grain57,56,763,619.94,15.72
Grain58,96,927,515.96,9.29
Grain59,104,1340,426.96,2.85
Grain61,113,1740,595.97,7.05
Grain62,93,1240,628.75,5.5
Grain63,82,1100,530.7,16.66
Grain66,102,1200,681.51,5.66
Grain69,88,1090,422.01,3.93
Grain70,76,940,425.77,9.15
Grain72,85,1270,210.49,3.89
Grain73,82,1110,394.71,3.76
Grain74,78,989,457.25,12.69
Grain76,202,3400,273.81,6.87
Grain77,69,1360,315.33,2.93
Grain78,143,2210,733.25,10.65
Grain80,61,900,411.46,5.31
