GrainID,Ns,A,U1,U1err
FC3_210721 No.3,214,8038,151.08,4.4
FC3_210721 No.4,408,8689,386.22,6.7
FC3_210721 No.5,259,9916,326.86,6.4
FC3_210721 No.6,262,8548,158.27,4.3
FC3_210721 No.7,247,9755,163.03,4.3
FC3_210721 No.8,308,6306,396.18,6.3
FC3_210721 No.9,231,5347,476.45,6.8999999999999995
FC3_210721 No.10,221,5444,267.03,5.300000000000001
FC3_210721 No.11,213,9542,87.81,3.0
FC3_210721 No.12,1017,18847,323.56,6.3
FC3_210721 No.13,154,4337,377.04,6.7
FC3_210721 No.14,141,5217,109.94,3.5
FC3_210721 No.15,515,10638,274.98,5.4
FC3_210721 No.16,273,8790,154.06,3.9000000000000004
